Date,Rainfall
1930-11-01,0.109145299
1930-12-01,0.0
1931-01-01,0.0
1931-02-01,0.0
1931-03-01,0.0
1931-04-01,0.0
1931-05-01,0.0
1931-06-01,224.723292
1931-07-01,1151.503495
1931-08-01,565.3786324
1931-09-01,149.5842079
1931-10-01,426.6338428
1931-11-01,59.86351538
1931-12-01,9.873479366
1932-01-01,0.0
1932-02-01,0.0
1932-03-01,0.0
1932-04-01,0.0
1932-05-01,4.708019018
1932-06-01,272.1765587
1932-07-01,913.337277
1932-08-01,190.753795
1932-09-01,286.5502311
1932-10-01,174.6808824
1932-11-01,0.692609519
1932-12-01,1.385123312
1933-01-01,0.0
1933-02-01,0.0
1933-03-01,0.250055283
1933-04-01,0.0
1933-05-01,57.85738692
1933-06-01,301.3826516
1933-07-01,391.5510836
1933-08-01,527.0710158
1933-09-01,348.6012788
1933-10-01,59.84714162
1933-11-01,0.0
1933-12-01,14.46595073
1934-01-01,0.0
1934-02-01,0.0
1934-03-01,0.481728956
1934-04-01,0.0
1934-05-01,0.0
1934-06-01,864.9275939
1934-07-01,518.9146414
1934-08-01,548.1945893
1934-09-01,224.0254702
1934-10-01,6.158581592
1934-11-01,40.91673803
1934-12-01,0.0
1935-01-01,0.0
1935-02-01,0.0
1935-03-01,0.0
1935-04-01,0.0
1935-05-01,0.0
1935-06-01,748.1081976
1935-07-01,567.318478
1935-08-01,353.5588979
1935-09-01,252.8960514
1935-10-01,40.8211775
1935-11-01,1.470445514
1935-12-01,0.0
1936-01-01,0.0
1936-02-01,0.349497706
1936-03-01,0.0
1936-04-01,0.0
1936-05-01,6.166763529
1936-06-01,877.4049973
1936-07-01,280.2117601
1936-08-01,206.0156555
1936-09-01,260.8635946
1936-10-01,1.205713511
1936-11-01,48.74411538
1936-12-01,0.0
1937-01-01,0.0
1937-02-01,6.033338547
1937-03-01,0.0
1937-04-01,0.0
1937-05-01,0.0
1937-06-01,570.2048
1937-07-01,953.559376
1937-08-01,128.5737324
1937-09-01,273.4025474
1937-10-01,41.36648953
1937-11-01,0.0
1937-12-01,0.616141543
1938-01-01,0.0
1938-02-01,0.0
1938-03-01,0.0
1938-04-01,0.0
1938-05-01,11.74029848
1938-06-01,767.2840765
1938-07-01,540.3784438
1938-08-01,436.9620707
1938-09-01,164.9232219
1938-10-01,519.1123051
1938-11-01,38.15767288
1938-12-01,0.0
1939-01-01,0.0
1939-02-01,0.0
1939-03-01,0.0
1939-04-01,0.0
1939-05-01,0.0
1939-06-01,135.2393102
1939-07-01,812.9009292
1939-08-01,389.984616
1939-09-01,137.5144558
1939-10-01,2.467361763
1939-11-01,45.93854599
1939-12-01,0.0
1940-01-01,13.11923361
1940-02-01,9.167512357
1940-03-01,3.625986569
1940-04-01,0.0
1940-05-01,0.0
1940-06-01,631.427726
1940-07-01,693.1379439
1940-08-01,596.6583247
1940-09-01,427.4381703
1940-10-01,154.5790065
1940-11-01,30.8227005
1940-12-01,0.0
1941-01-01,0.358620882
1941-02-01,0.0
1941-03-01,0.0
1941-04-01,0.0
1941-05-01,0.0
1941-06-01,217.1815337
1941-07-01,506.740084
1941-08-01,108.6680748
1941-09-01,140.417219
1941-10-01,85.47499278
1941-11-01,0.0
1941-12-01,0.0
1942-01-01,0.0
1942-02-01,0.0
1942-03-01,0.0
1942-04-01,0.0
1942-05-01,0.0
1942-06-01,667.5180263
1942-07-01,887.9705064
1942-08-01,267.7069551
1942-09-01,314.4113305
1942-10-01,0.0
1942-11-01,0.0
1942-12-01,2.367502213
1943-01-01,2.653856277
1943-02-01,0.0
1943-03-01,0.0
1943-04-01,0.0
1943-05-01,132.7956752
1943-06-01,697.8607051
1943-07-01,742.0760316
1943-08-01,87.49336988
1943-09-01,249.7640678
1943-10-01,103.7760632
1943-11-01,1.017982721
1943-12-01,0.0
1944-01-01,0.0
1944-02-01,0.0
1944-03-01,0.349497706
1944-04-01,0.0
1944-05-01,1.15277946
1944-06-01,339.5457254
1944-07-01,1102.172216
1944-08-01,467.13299
1944-09-01,52.20517549
1944-10-01,70.51444602
1944-11-01,0.0
1944-12-01,0.0
1945-01-01,14.57044768
1945-02-01,0.0
1945-03-01,0.0
1945-04-01,0.0
1945-05-01,0.0
1945-06-01,584.6162162
1945-07-01,729.4522287
1945-08-01,610.8974856
1945-09-01,246.4517272
1945-10-01,4.631403446
1945-11-01,1.925176859
1945-12-01,0.0
1946-01-01,0.0
1946-02-01,0.0
1946-03-01,0.0
1946-04-01,0.0
1946-05-01,22.91844073
1946-06-01,466.8829895
1946-07-01,614.3146009
1946-08-01,483.1080591
1946-09-01,429.2368983
1946-10-01,50.63356735
1946-11-01,153.2439163
1946-12-01,5.769574285
1947-01-01,0.330387622
1947-02-01,0.0
1947-03-01,0.0
1947-04-01,75.54181807
1947-05-01,0.0
1947-06-01,114.3632292
1947-07-01,640.7447825
1947-08-01,653.8731683
1947-09-01,520.8011434
1947-10-01,43.19281292
1947-11-01,0.0
1947-12-01,0.0
1948-01-01,5.046215825
1948-02-01,0.0
1948-03-01,0.0
1948-04-01,0.0
1948-05-01,0.0
1948-06-01,258.692052
1948-07-01,799.3284432
1948-08-01,437.8811367
1948-09-01,310.9271403
1948-10-01,16.78259131
